ID	chr	start	end	strand
NM_001002004	chr11	78075256	78104127	+
NM_001002005	chr15	88890156	88901337	+
NM_001002008	chr17	21704010	21725649	+
NM_001002011	chr3	88285070	88307274	-
NM_001002012	chr12	77505163	77507923	+
NM_001002238	chr19	56900699	56944502	+
NM_001002239	chr18	75160131	75163035	+
NM_001002240	chr19	56900765	56944502	+
NM_001002241	chr19	56905202	56944502	+
NM_001002267	chr9	123168175	123169907	-
NM_001002268	chr10	14122391	14264842	-
NM_001002272	chrX	147079253	147091979	-
NM_001002764	chr11	74739374	74977950	+
NM_001002786	chr17	29272001	29285921	+
NM_001002787	chr4	43996376	43998405	+
NM_001002791	chr2	152311402	152315874	-
NM_001002842	chr17	33775001	33782651	+
NM_001002846	chr9	20442193	20449211	-
NM_001002894	chr7	114310504	114341617	+
NM_001002895	chr17	27700714	27702672	-
NM_001002896	chr9	103327254	103382658	-
NM_001002897	chr5	23889999	23897961	-
NM_001002898	chr3	15371827	15426427	-
NM_001002900	chr15	100195016	100214386	+
NM_001002927	chr4	4060683	4065592	-
NM_001002929	chr11	115425758	115445238	+
NM_001003393	chr7	18761843	18767211	+
NM_001003405	chr6	41261231	41264709	-
NM_001003664	chr6	41365306	41369592	+
NM_001003666	chr13	67393387	67407348	-
NM_001003667	chr15	101690287	101700049	-
NM_001003668	chr15	101261921	101269235	-
NM_001003670	chr15	101454459	101458619	-
NM_001003671	chr18	37249790	37347311	+
NM_001003672	chr18	37303623	37347311	+
NM_001003685	chr6	55326289	55338524	+
NM_001003717	chr10	110601858	110734303	+
NM_001003719	chr12	56703877	56922503	-
NM_001003817	chr11	98273798	98299030	+
NM_001003824	chr2	180810284	180869994	-
NM_001003825	chr2	180810284	180869994	-
NM_001003893	chr4	147976653	147989589	+
NM_001003898	chr4	147986491	148001105	-
NM_001003899	chr4	147986491	148001105	-
NM_001003908	chr11	86508155	86570994	-
NM_001003909	chr5	3689999	3803124	-
NM_001003910	chr10	86168556	86239588	+
NM_001003911	chr9	90057816	90094940	+
NM_001003912	chr3	87422673	87541955	+
NM_001003913	chr10	126733277	126748842	-
NM_001003915	chr2	110437456	110489502	+
NM_001003916	chrX	92834533	92853848	-
NM_001003917	chr1	75177435	75188584	-
NM_001003918	chr16	8688815	8738435	-
NM_001003919	chr17	66472860	66501514	+
NM_001003920	chr7	4642530	4667599	+
NM_001003933	chr19	7500385	7557781	-
NM_001003934	chr19	7500385	7557781	-
NM_001003939	chr10	86168556	86187329	+
NM_001003947	chr4	114781287	114806582	-
NM_001003948	chr1	84032868	84281220	-
NM_001003949	chr10	79439865	79447075	-
NM_001003950	chr10	116342840	116387436	-
NM_001003951	chr8	96038095	96059607	-
NM_001003952	chr6	41918139	41923089	+
NM_001003953	chr5	123320681	123439108	-
NM_001003955	chr6	85284956	85324628	-
NM_001003960	chr2	153475185	153513466	+
NM_001003961	chr2	153475185	153513466	+
NM_001003963	chr2	153475185	153513466	+
NM_001003972	chr16	56075517	56126693	+
NM_001003973	chr16	56075517	56126693	+
NM_001004025	chr4	49691619	49694855	-
NM_001004061	chr18	50438023	50442673	+
NM_001004062	chr8	72906257	72963472	-
NM_001004066	chr12	117285935	117301675	+
NM_001004139	chr7	46773136	46795785	+
NM_001004140	chr8	23278624	23296291	-
NM_001004141	chr4	95961199	96015371	-
NM_001004142	chr11	70904699	70958206	-
NM_001004143	chr11	60965283	60988561	-
NM_001004144	chr11	77306914	77321276	+
NM_001004145	chr9_random	113027	134714	+
NM_001004147	chr11	35610882	35612386	-
NM_001004148	chr11	72055496	72080106	-
NM_001004149	chr13	99954778	100016987	+
NM_001004150	chr15	83057152	83082204	-
NM_001004151	chr16	23429206	23434033	+
NM_001004152	chr7	19303439	19312597	+
NM_001004153	chr7	3154660	3169204	-
NM_001004154	chrX	149574501	149606486	+
NM_001004155	chr14	70554212	70559309	-
NM_001004157	chr11	75327043	75340082	+
NM_001004158	chr14	59777340	59797586	-
NM_001004159	chr6	123123041	123154689	+
NM_001004164	chr10	87842157	87910074	+
NM_001004173	chr1	78306921	78416861	+
NM_001004174	chr2	122463623	122466812	+
NM_001004176	chr3	51491535	51908928	-
NM_001004177	chr3	108193766	108218412	-
NM_001004178	chr4	119202923	119211374	-
NM_001004180	chr5	115018260	115063227	+
NM_001004182	chr6	40060252	40198352	+
NM_001004184	chr7	88259685	88315302	+
NM_001004185	chr7	88716178	88741722	+
NM_001004187	chr7	126937701	126992455	+
NM_001004190	chr9	20149580	20189602	-
NM_001004191	chr9	48303448	48304080	+
NM_001004192	chr9	108338813	108348414	+
NM_001004193	chrX	35227953	35232121	-
NM_001004194	chr7	24086211	24147296	+
NM_001004293	chr3	107989207	107995204	+
NM_001004357	chr6	45010060	47251370	+
NM_001004359	chrX	132277231	132338007	+
NM_001004361	chr18	25294540	25327378	-
NM_001004362	chr10	78527119	78560345	-
NM_001004363	chr10	83834064	83903216	-
NM_001004364	chr12	21117617	21276032	+
NM_001004365	chr5	25265791	25356509	+
NM_001004366	chr17	28279471	28308290	+
NM_001004367	chr3	133899459	133925053	+
NM_001004435	chr11	68316521	68366197	+
NM_001004436	chr14	35487114	35561169	+
NM_001004455	chr12	25350703	25366660	-
NM_001004468	chr7	137720998	137908296	+
NM_001004721	chr2	155103988	155183160	-
NM_001004761	chr2	21289194	21752169	+
NM_001004762	chr7	13914671	13946017	+
NM_001005223	chr11	84724457	84729858	-
NM_001005225	chr2	88568810	88569754	-
NM_001005227	chr2	88607460	88608470	-
NM_001005230	chr2	85744226	85745209	-
NM_001005232	chr7	56886869	56892205	-
NM_001005247	chr7	54015836	54051251	-
NM_001005248	chr7	54015836	54051251	-
NM_001005341	chr11	86749927	86807264	-
NM_001005342	chr2	84574361	84578034	+
NM_001005343	chr2	73109983	73113828	+
NM_001005358	chr17	17201067	17226595	+
NM_001005370	chrX	150266836	150268783	+
NM_001005371	chr4	143399894	143405996	-
NM_001005385	chrX	132277231	132338007	+
NM_001005419	chr10	67007259	67011703	-
NM_001005420	chr2	28303461	28311028	+
NM_001005421	chr9	44887266	44916614	+
NM_001005422	chr13	46369090	46395484	+
NM_001005423	chr1	72205807	72258881	-
NM_001005424	chr2	25430936	25435619	-
NM_001005425	chr2	165176797	165187619	-
NM_001005426	chr5	138229030	138263849	+
NM_001005475	chrX	148613552	148659780	+
NM_001005477	chr5	106881542	106887185	-
NM_001005481	chr17	38267194	38268135	-
NM_001005485	chr17	37666902	37667942	+
NM_001005488	chr7	114958100	114959020	+
NM_001005506	chr4	129303321	129318049	-
NM_001005507	chr1	154684125	154749776	-
NM_001005508	chr1	173319091	173340370	+
NM_001005509	chr3	58329743	58361423	+
NM_001005510	chr12	76919305	77211915	+
NM_001005511	chr7	53039317	53059512	+
NM_001005520	chr1	176047222	176048145	-
NM_001005524	chr16	59118974	59119894	-
NM_001005525	chr5	124178435	124199423	-
NM_001005568	chr2	111168578	111169495	+
NM_001005569	chr2	37075011	37075940	+
NM_001005570	chr7	114034698	114035621	-
NM_001005605	chr6	140572023	140604002	+
NM_001005608	chr11	115836039	115869725	+
NM_001005740	chr13	42804950	43233881	+
NM_001005748	chr13	43218208	43233881	+
NM_001005767	chr16	20279894	20302435	-
NM_001005784	chr4	98062517	98164324	+
NM_001005787	chr4	98213325	98355701	+
NM_001005788	chr4	120602742	120624306	-
NM_001005846	chr3	145813138	145858476	+
NM_001005847	chr8	54597056	54608776	+
NM_001005854	chr16	45416868	45493082	-
NM_001005858	chr19	34682447	34687891	+
NM_001005859	chr3	130429745	130433316	-
NM_001005860	chr6	122940385	122974439	+
NM_001005863	chr8	42076266	42219080	-
NM_001005864	chr8	42076266	42140150	-
NM_001005865	chr8	42076266	42127285	-
NM_001005867	chr11	6295128	6306165	+
NM_001005868	chr13	104608866	104710666	-
NM_001005916	chr17	27110124	27113148	+
NM_001006664	chr2	156301270	156368950	+
NM_001006668	chr2	180810284	180869994	-
NM_001006669	chr2	180810284	180869994	-
NM_001006674	chr2	180810284	180869994	-
NM_001007077	chr4	143379237	143385488	+
NM_001007154	chr2	177927789	178073197	+
NM_001007220	chr5	8092260	8368160	-
NM_001007221	chr5	8092260	8368160	-
NM_001007222	chr3	93455464	93456608	-
NM_001007223	chr8	116941934	116952033	+
NM_001007266	chr10	23658378	23661389	+
NM_001007268	chr14	22552618	22567844	-
NM_001007460	chr16	43969259	43979163	-
NM_001007461	chr11	98487674	98499403	+
NM_001007462	chr8	125143371	125146635	-
NM_001007463	chr4	43664548	43666466	-
NM_001007465	chr11	82617321	82684712	-
NM_001007472	chr6	85373880	85378871	+
NM_001007567	chr8	108724338	108734833	-
NM_001007568	chr15	76682574	76701865	-
NM_001007569	chr7	17545144	17547669	+
NM_001007570	chr8	72708239	72736180	-
NM_001007571	chr8	86770134	86773660	-
NM_001007572	chr6	41602769	41630722	-
NM_001007573	chr4	124532483	124539415	-
NM_001007574	chr5	107926764	107941575	+
NM_001007575	chr13	67591103	67601458	-
NM_001007576	chrX	138513832	138631479	-
NM_001007577	chrX	162937747	162948410	-
NM_001007578	chrX	131282994	131285958	-
NM_001007579	chr4	143157370	143163701	+
NM_001007580	chrX	103615382	103680568	-
NM_001007581	chr2	165315612	165318814	-
NM_001007582	chr8	22812996	22814119	-
NM_001007583	chr10	116423370	116462096	+
NM_001007584	chr11	94555812	94565813	-
NM_001007589	chr4	34497864	34514157	+
NM_001007596	chr12	73312736	73337714	-
NM_001008230	chr16	23925634	23930880	-
NM_001008231	chr17	49595347	49703662	-
NM_001008232	chr4	135762280	135802488	+
NM_001008233	chr4	155595565	155602651	-
NM_001008238	chr9	69837273	69859466	+
NM_001008419	chr1	58335170	58436108	+
NM_001008420	chr15	21041207	21519288	+
NM_001008421	chr12	17355299	17436901	+
NM_001008422	chr7	52258320	52271619	-
NM_001008423	chr12	81856434	81861702	-
NM_001008424	chr17	35689073	35694125	+
NM_001008425	chr17	23805586	23810737	-
NM_001008426	chr1	155721475	155724001	+
NM_001008427	chr7	49915478	49948088	-
NM_001008428	chr9	109119946	109137268	-
NM_001008429	chr10	23669364	23670395	+
NM_001008497	chr3	58918545	58934684	-
NM_001008498	chr2	29887078	29904399	-
NM_001008499	chr10	23680300	23681343	+
NM_001008501	chr17	21844708	21862603	+
NM_001008502	chr3	37211476	37220373	+
NM_001008506	chr12	99985178	100025984	+
NM_001008533	chr1	136095792	136132034	-
NM_001008542	chr19	53384996	53450300	+
NM_001008543	chr19	53404936	53450300	+
NM_001008545	chr4	147986491	148001105	-
NM_001008546	chr4	147986491	148001105	-
NM_001008547	chr5	146994026	146996880	-
NM_001008548	chr7	108570205	108661343	+
NM_001008549	chr7	50817740	50830831	+
NM_001008550	chr12	80333334	80397269	-
NM_001008700	chr7	132695796	132722988	+
NM_001008702	chr15	6249789	6390709	+
NM_001008705	chr5	145901245	145908947	+
NM_001008706	chr13	3853419	3854007	+
NM_001008785	chr6	95067874	95079787	+
NM_001008791	chr4	63075944	63157025	-
NM_001008792	chr4	63075944	63157025	-
NM_001008793	chr4	63075944	63157025	-
NM_001008973	chr17	65605345	65890122	-
NM_001009544	chr17	33201088	33205003	-
NM_001009545	chr12	114727776	114730046	+
NM_001009546	chr19	6105798	6115555	+
NM_001009547	chr8	44605218	44613491	-
NM_001009548	chr8	41878627	41882657	+
NM_001009549	chrX	51075863	51079571	-
NM_001009550	chr4	61808866	61811875	-
NM_001009573	chr11	115923410	115939275	-
NM_001009574	chr10	23690512	23691525	+
NM_001009575	chrX	132277231	132281865	+
NM_001009818	chr5	93522442	93604101	+
NM_001009819	chr4	128436502	128446542	+
NM_001009927	chr11	60541900	60546453	+
NM_001009929	chr7	149135656	149190148	+
NM_001009930	chr7	149135656	149190148	+
NM_001009935	chr3	96361880	96365780	+
NM_001009940	chr1	132829233	132835818	-
NM_001009947	chrX	33428827	33616557	+
NM_001009948	chr2	152194494	152202302	-
NM_001009949	chr4	45408796	45421638	-
NM_001009950	chr8	122003503	122025598	-
NM_001009951	chr8	59010319	59029363	-
NM_001009952	chr7	34149362	34151338	-
NM_001009978	chr2	79699182	79748556	-
NM_001009979	chr2	79699182	79748556	-
NM_001009981	chr8	81033227	81257911	+
NM_001010825	chr5	114185791	114190616	+
NM_001010826	chr7	104601714	104608067	+
NM_001010827	chr10	23719745	23720821	+
NM_001010828	chr10	23704415	23705452	-
NM_001010829	chr10	23712211	23713287	-
NM_001010830	chr10	23796306	23797340	+
NM_001010831	chr10	23828294	23829340	-
NM_001010833	chr17	35978443	35996615	+
NM_001010834	chr3	10331734	10335656	-
NM_001010835	chr10	23757420	23758496	+
NM_001010836	chr7	19946565	19963882	+
NM_001010837	chr10	23811066	23812100	-
NM_001010838	chr10	23747028	23748104	+
NM_001010839	chr10	23769316	23770392	+
NM_001010840	chr10	23820649	23821757	-
NM_001010930	chr6	39751807	39760935	-
NM_001010937	chr14	57742138	57752448	-
NM_001010941	chr5	147393726	147396815	-
NM_001010973	chr13	54287498	54317801	+
NM_001011517	chr2	88518014	88518970	+
NM_001011518	chr17	37333751	37334911	-
NM_001011519	chr2	87673198	87674142	+
NM_001011520	chr7	93417240	93418321	-
NM_001011523	chr9	38400388	38402746	+
NM_001011524	chr19	11929485	11930441	-
NM_001011525	chr1	94387395	94388330	-
NM_001011527	chr7	115688041	115689012	+
NM_001011528	chr6	42436162	42437213	-
NM_001011529	chr2	89507085	89508041	-
NM_001011530	chr14	50548238	50549243	-
NM_001011531	chr11	58355949	58356985	-
NM_001011532	chr2	85924887	85926011	-
NM_001011533	chr7	112436609	112437574	+
NM_001011534	chr2	85193152	85194081	-
NM_001011535	chr2	88286176	88289278	-
NM_001011536	chr7	110004835	110005785	-
NM_001011542	chr7	114057714	114058637	+
NM_001011662	chr16	58915512	58918312	-
NM_001011684	chr1	38995994	39007121	+
NM_001011687	chr14	52541835	52542448	-
NM_001011695	chr2	85448121	85449065	-
NM_001011707	chr19	39188388	39261246	+
NM_001011721	chr17	37450356	37451382	-
NM_001011732	chr2	152857588	152881511	+
NM_001011733	chr15	98016444	98025973	-
NM_001011734	chr2	87109003	87109926	+
NM_001011735	chr2	86295485	86296426	-
NM_001011736	chr16	59328416	59329333	-
NM_001011737	chr10	78074414	78080819	-
NM_001011738	chr14	51237899	51238870	+
NM_001011739	chr9	37868907	37869836	+
NM_001011740	chr11	59426468	59427727	+
NM_001011741	chr11	49283556	49284683	+
NM_001011742	chr7	115198498	115199481	+
NM_001011743	chr11	58410847	58411968	+
NM_001011748	chr9	19858910	19859905	-
NM_001011749	chr7	114008496	114009443	+
NM_001011750	chr7	93764146	93765153	-
NM_001011751	chr7	93637061	93638059	-
NM_001011752	chr7	93812174	93813184	+
NM_001011753	chr17	37746730	37747724	-
NM_001011754	chr14	50965051	50966115	-
NM_001011755	chr7	112123556	112124497	-
NM_001011756	chr9	39126232	39127197	-
NM_001011757	chr7	111852083	111853117	+
NM_001011758	chr2	85639496	85640425	-
NM_001011759	chr2	85831976	85832986	+
NM_001011760	chr11	58599641	58600771	+
NM_001011761	chr2	89122353	89123288	-
NM_001011767	chr7	93613923	93614915	+
NM_001011769	chr11	58545598	58546725	-
NM_001011770	chr11	58303221	58306001	-
NM_001011771	chr2	86572832	86573767	-
NM_001011773	chr2	111289299	111290216	+
NM_001011774	chr2	85791222	85792196	+
NM_001011775	chr19	11944673	11945704	-
NM_001011776	chr7	147521763	147522680	+
NM_001011777	chr2	85999502	86000598	-
NM_001011778	chr15	98143020	98143979	-
NM_001011779	chr15	98057106	98064881	-
NM_001011780	chr15	98037402	98051487	-
NM_001011782	chr7	109625287	109626416	-
NM_001011784	chr2	85970859	85971818	-
NM_001011785	chr2	85171124	85172053	-
NM_001011787	chr2	111784673	111785611	-
NM_001011788	chr19	12303009	12304052	-
NM_001011789	chr11	59384284	59385240	-
NM_001011790	chr11	49348689	49349624	+
NM_001011791	chr16	59109505	59110434	-
NM_001011792	chr16	59361125	59362042	-
NM_001011793	chr7	110477002	110477961	+
NM_001011794	chrX	47238646	47239578	-
NM_001011795	chr2	111071010	111071948	-
NM_001011796	chr2	89470097	89471053	-
NM_001011797	chr10	128787621	128788565	+
NM_001011798	chr9	37854809	37855738	+
NM_001011799	chr6	42694038	42694991	+
NM_001011800	chr6	116456534	116467983	+
NM_001011801	chr6	116490473	116491456	+
NM_001011802	chr2	111996055	111997164	+
NM_001011803	chr2	111752147	111753085	-
NM_001011804	chr2	88769535	88770470	-
NM_001011805	chr11	49308037	49308966	+
NM_001011806	chr9	38237869	38238804	+
NM_001011807	chr16	59085378	59086307	-
NM_001011808	chr16	59201330	59202250	-
NM_001011809	chr14	50759377	50760312	-
NM_001011810	chr7	115302432	115303385	-
NM_001011811	chr7	115355097	115356041	-
NM_001011812	chr9	39201378	39202322	+
NM_001011813	chr17	37287977	37288915	-
NM_001011814	chr7	147387711	147388667	-
NM_001011815	chr7	147652102	147653064	+
NM_001011816	chr2	88263245	88264180	-
NM_001011818	chr11	58571169	58572089	+
NM_001011819	chr11	58644658	58645584	+
NM_001011820	chr13	21765870	21766811	-
NM_001011820_dup1	chr13	21794872	21795813	+
NM_001011821	chr10	129141936	129142880	+
NM_001011822	chr10	128899734	128900672	+
NM_001011823	chr9	18792434	18793372	+
NM_001011824	chr9	18749094	18750032	+
NM_001011825	chr2	86873438	86874376	-
NM_001011826	chr9	39557973	39558905	+
NM_001011827	chr9	39476644	39477579	+
NM_001011828	chr7	93534167	93535168	-
NM_001011829	chr17	38088996	38089967	-
NM_001011830	chr17	37833630	37838582	+
NM_001011831	chr19	13901949	13902884	-
NM_001011832	chr19	13728936	13729886	+
NM_001011833	chr2	87551129	87552061	-
NM_001011834	chr2	87708150	87709082	+
NM_001011835	chr2	87889835	87890779	-
NM_001011836	chr2	87415243	87416187	+
NM_001011837	chr14	51330007	51330930	+
NM_001011839	chr19	12396377	12397315	-
NM_001011840	chr19	13308742	13309674	+
NM_001011841	chr19	13387850	13388773	-
NM_001011842	chr19	13545462	13546406	+
NM_001011845	chr7	110468927	110469874	+
NM_001011846	chr7	116011722	116012666	-
NM_001011847	chr7	110321205	110322149	-
NM_001011848	chr7	112172539	112173480	-
NM_001011849	chr10	128977595	128978530	+
NM_001011850	chr19	13993512	13994462	+
NM_001011851	chr11	74178173	74179111	+
NM_001011852	chr2	85815370	85816430	+
NM_001011853	chr19	12148185	12149120	-
NM_001011854	chr7	110590654	110591664	-
NM_001011855	chr16	19566033	19566974	-
NM_001011856	chr4	118541388	118542341	+
NM_001011857	chr7	112328875	112329825	-
NM_001011858	chr7	115708351	115709307	-
NM_001011859	chr9	39526814	39527752	+
NM_001011860	chr2	88964951	88965886	-
NM_001011861	chr11	58315100	58316074	-
NM_001011862	chr7	113933563	113934513	-
NM_001011863	chr11	74082893	74083864	+
NM_001011864	chr9	38472498	38473427	-
NM_001011865	chr7	110818617	110819543	-
NM_001011866	chr7	93454695	93455621	-
NM_001011867	chr7	147760054	147760986	+
NM_001011868	chr2	88231406	88232377	+
NM_001011869	chr6	42740040	42740993	+
NM_001011870	chr4	118589129	118590070	-
NM_001011871	chr7	115755823	115756767	+
NM_001011872	chr2	85886601	85887623	+
NM_001011873	chr1	13658852	13691804	+
NM_001011874	chr1	3204563	3661579	-
NM_001011875	chr14	51676373	51676917	-
NM_001011876	chr14	44579329	44584083	-
NM_001011877	chr14	51669126	51669838	-
NM_001012236	chr9	108960446	108961765	-
NM_001012265	chr9	19517273	19518202	+
NM_001012266	chr9	18839569	18840504	+
NM_001012269	chr14	52968778	52969719	-
NM_001012273	chr11	117710551	117717057	+
NM_001012305	chr2	14310025	14416604	+
NM_001012306	chr3	98545399	98566333	-
NM_001012307	chr8	22194719	22195695	+
NM_001012307_dup1	chr8	22331252	22332228	+
NM_001012309	chr11	76857794	76891939	-
NM_001012310	chr12	110089339	110095025	+
NM_001012311	chr13	21513144	21532922	-
NM_001012322	chr1	121903557	121960109	+
NM_001012323	chr4	61711269	61715151	-
NM_001012324	chr13	49600179	49628158	+
NM_001012325	chr13	67170334	67198912	-
NM_001012330	chr1	179374792	179380897	+
NM_001012335	chr2	91769962	91771859	-
NM_001012336	chr2	91769962	91772016	-
NM_001012363	chr5	38740512	38874624	-
NM_001012392	chr2	154016554	154046079	+
NM_001012396	chr2	13948458	13977662	-
NM_001012400	chr4	118897743	118905329	-
NM_001012401	chr7	31338321	31340458	+
NM_001012402	chr17	24889948	24895629	+
NM_001012434	chr7	104601714	104608067	+
NM_001012448	chr13	67170334	67182481	-
NM_001012449	chr13	67170334	67198912	-
NM_001012450	chr4	32891010	33010480	-
NM_001012451	chr4	32891010	33037801	-
NM_001012477	chr6	117118553	117131386	+
NM_001012517	chr8	32297803	32372396	+
NM_001012518	chr2	24646289	24775129	-
NM_001012520	chr6	129647236	129667150	-
NM_001012623	chr1	22278503	22812563	-
NM_001012624	chr1	22278503	22812563	-
NM_001012625	chr1	22278503	22812563	-
NM_001012638	chr8	108222055	108225128	-
NM_001012640	chr8_random	264607	265659	+
NM_001012667	chr8	23573086	23587351	-
NM_001012704	chr2	164510607	164513206	+
NM_001012723	chr2	164460208	164464302	-
NM_001012725	chr2	164439200	164443713	+
NM_001012726	chr5	113786314	113786841	+
NM_001012765	chr16	35155722	35304635	+
NM_001012766	chr14	44680552	44681022	+
NM_001013012	chr7	6083091	6107573	-
NM_001013013	chr11	67611773	67629504	+
NM_001013019	chr19	8925275	8928399	+
NM_001013022	chr15	89207880	89209685	-
NM_001013023	chr5	3890581	3893933	-
NM_001013024	chr3	32716548	32834179	+
NM_001013025	chr1	43104114	43155467	-
NM_001013026	chr3	100742783	100773586	-
NM_001013028	chr10	84565372	84580492	+
NM_001013256	chr11	68829413	68849975	+
NM_001013360	chr15	79616781	79664763	-
NM_001013362	chr15	79616781	79664763	-
NM_001013365	chr11	4136788	4141029	+
NM_001013366	chr6	34830426	34860831	-
NM_001013367	chr15	5093861	5131899	+
NM_001013368	chr7	56121799	56136411	-
NM_001013369	chr2	170321928	170344570	+
NM_001013370	chr10	41607245	41628242	+
NM_001013371	chr16	35926601	35939113	-
NM_001013372	chr12	88783798	88784967	-
NM_001013373	chr9	45127183	45155663	+
NM_001013374	chr1	36480031	36502116	-
NM_001013375	chr11	93720557	93747080	-
NM_001013376	chr2	3246221	3249900	-
NM_001013377	chr4	43509016	43512532	-
NM_001013378	chr5	149996136	150027010	+
NM_001013379	chr8	71732945	71754438	+
NM_001013380	chr8	106941574	106966947	-
NM_001013381	chr11	94401112	94410521	-
NM_001013382	chr1	169375806	169396911	-
NM_001013384	chr8	86649888	86656416	+
NM_001013385	chr17	27559333	27640478	-
NM_001013386	chr11	83223574	83234540	+
NM_001013387	chrX	20603310	20639164	-
NM_001013389	chr13	25084164	25112186	-
NM_001013390	chr9	44947125	44962144	+
NM_001013391	chr10	116781724	116814029	-
NM_001013393	chr4	73062066	73066106	-
NM_001013405	chr9	122714665	122745450	+
NM_001013411	chr10	31409125	32609721	-
NM_001013412	chr5	136036318	136039439	-
NM_001013414	chr11	69715318	69727326	+
NM_001013441	chr10	84380358	84481082	+
NM_001013575	chr17	37700184	37706396	-
NM_001013577	chr4	59782519	59796727	-
NM_001013580	chr8	129823552	129925959	+
NM_001013581	chr8	129823512	129957044	+
NM_001013607	chr11	70327018	70328118	-
NM_001013608	chr13	63916628	64001609	+
NM_001013609	chr8	28454866	28459660	+
NM_001013616	chr7	111367309	111383666	+
NM_001013741	chr15	98634213	98638356	-
NM_001013745	chr17	37139470	37147674	+
NM_001013749	chr17	45678889	45686626	-
NM_001013750	chr1	28832967	28837097	-
NM_001013751	chr5	135033124	135036041	-
NM_001013753	chr14	84843370	84936867	+
NM_001013755	chr4	126287098	126291615	+
NM_001013756	chr4	135097803	135129535	-
NM_001013757	chr6	13135610	13174965	-
NM_001013758	chr10	80295548	80306784	-
NM_001013759	chr11	83235137	83243023	-
NM_001013760	chrX	73509645	73513012	+
NM_001013761	chr16	26957321	26991738	-
NM_001013762	chr19	12674506	12702106	+
NM_001013764	chr8	95544114	95572091	-
NM_001013765	chr7	11591094	11595896	+
NM_001013766	chr10	25949513	25980610	+
NM_001013767	chr17	45767153	45796258	-
NM_001013769	chr13	67274118	67284434	+
NM_001013770	chr19	33629650	33664801	-
NM_001013771	chr1	59573108	59691353	+
